,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
43201,66,housemaid,divorced,primary,no,3701,no,no,telephone,3,mar,834,1,-1,0,unknown,yes
2991,45,unemployed,married,primary,no,1292,yes,no,unknown,14,may,70,2,-1,0,unknown,no
34087,28,student,single,tertiary,no,3054,no,no,cellular,30,apr,384,1,80,6,other,yes
31116,75,retired,married,primary,no,358,no,no,cellular,17,feb,364,11,-1,0,unknown,yes
34139,33,services,married,secondary,no,478,no,no,cellular,30,apr,475,2,-1,0,unknown,yes
3909,44,self-employed,married,secondary,no,1310,yes,no,unknown,16,may,290,1,-1,0,unknown,no
42474,47,management,single,tertiary,no,4402,no,no,telephone,10,dec,805,1,190,1,other,yes
37756,41,blue-collar,married,secondary,no,580,yes,no,cellular,14,may,874,1,363,1,failure,yes
3232,40,services,divorced,secondary,no,1927,yes,no,unknown,15,may,62,1,-1,0,unknown,no
45193,28,self-employed,single,tertiary,no,159,no,no,cellular,16,nov,449,2,33,4,success,yes
43115,32,management,married,tertiary,no,302,yes,yes,unknown,23,feb,61,1,384,2,failure,yes
4065,46,blue-collar,married,primary,no,7934,yes,no,unknown,19,may,123,1,-1,0,unknown,no
5388,25,blue-collar,married,secondary,no,51,yes,no,unknown,23,may,76,2,-1,0,unknown,no
2639,44,blue-collar,married,secondary,no,1340,yes,no,unknown,13,may,244,1,-1,0,unknown,no
3855,32,management,single,secondary,no,916,yes,no,unknown,16,may,381,2,-1,0,unknown,no
44778,58,management,married,tertiary,no,0,no,no,cellular,14,sep,358,2,-1,0,unknown,yes
43801,67,retired,married,primary,no,1430,no,no,telephone,26,may,283,2,135,5,success,yes
36845,38,management,single,tertiary,no,3646,yes,no,cellular,12,may,1710,2,286,1,other,yes
22409,53,blue-collar,married,secondary,no,25,no,no,cellular,22,aug,528,2,-1,0,unknown,yes
2141,32,entrepreneur,married,tertiary,no,108,yes,yes,unknown,12,may,112,1,-1,0,unknown,no
2565,46,blue-collar,divorced,primary,no,274,yes,no,unknown,13,may,20,1,-1,0,unknown,no
4344,23,technician,single,unknown,no,710,yes,no,unknown,19,may,374,6,-1,0,unknown,no
2246,50,admin.,married,secondary,no,1114,yes,yes,unknown,12,may,298,2,-1,0,unknown,no
442,36,blue-collar,married,secondary,no,139,yes,no,unknown,6,may,309,2,-1,0,unknown,no
40958,32,management,single,tertiary,no,2465,no,no,cellular,13,aug,414,1,-1,0,unknown,yes
33913,60,housemaid,married,primary,no,1163,no,no,cellular,30,apr,470,8,-1,0,unknown,yes
3145,41,blue-collar,divorced,secondary,no,5291,yes,no,unknown,14,may,1423,3,-1,0,unknown,yes
45035,47,admin.,married,secondary,no,3676,no,no,cellular,18,oct,567,1,95,3,success,yes
37692,39,technician,single,secondary,no,1355,yes,no,cellular,14,may,1180,1,-1,0,unknown,yes
3775,47,services,married,primary,no,1496,yes,no,unknown,16,may,211,2,-1,0,unknown,no
1839,26,technician,single,secondary,no,57,yes,no,unknown,9,may,404,2,-1,0,unknown,no
3676,40,services,married,primary,no,44,yes,no,unknown,16,may,144,1,-1,0,unknown,no
1693,37,blue-collar,married,primary,no,378,yes,no,unknown,9,may,514,1,-1,0,unknown,no
33886,58,retired,married,tertiary,no,1425,no,no,cellular,30,apr,224,1,-1,0,unknown,yes
45011,59,technician,married,secondary,no,1,no,no,cellular,14,oct,585,1,182,5,success,yes
32865,34,management,married,secondary,yes,879,yes,no,cellular,17,apr,712,1,344,1,failure,yes
20228,57,housemaid,married,primary,no,2785,no,no,cellular,11,aug,610,4,-1,0,unknown,yes
4613,33,blue-collar,married,secondary,no,0,yes,yes,unknown,20,may,114,1,-1,0,unknown,no
990,37,unemployed,divorced,primary,no,849,yes,no,unknown,7,may,166,1,-1,0,unknown,no
347,39,blue-collar,married,primary,no,-100,yes,no,unknown,5,may,680,2,-1,0,unknown,no
13164,28,blue-collar,single,secondary,no,517,no,yes,cellular,8,jul,681,1,-1,0,unknown,yes
16356,28,technician,single,tertiary,no,-123,no,yes,cellular,23,jul,690,1,-1,0,unknown,yes
43204,32,management,single,tertiary,no,354,no,no,cellular,4,mar,177,2,133,5,other,yes
40917,43,technician,married,tertiary,no,2643,no,no,cellular,12,aug,188,3,100,5,success,yes
748,37,blue-collar,single,secondary,no,88,yes,no,unknown,6,may,128,2,-1,0,unknown,no
662,33,admin.,single,secondary,no,101,yes,no,unknown,6,may,392,1,-1,0,unknown,no
